[2025-09-16T03:46:28.361Z] [DEBUG] Teste de log DEBUG
[2025-09-16T04:22:40.733Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:22:42.621Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:22:42.628Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:22:42.636Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:23:16.220Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:23:16.410Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:23:17.184Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:24:31.566Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:24:35.395Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:28:42.286Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:28:46.697Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:29:45.732Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:29:48.989Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:36:02.963Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:36:05.442Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:36:06.149Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:36:06.365Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:36:06.742Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:36:06.977Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:36:07.084Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:36:07.183Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:36:43.547Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:36:44.063Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:37:35.260Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:37:35.271Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:37:35.291Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:42:15.470Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:42:18.569Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:42:18.787Z] [DEBUG] Tentativa 1/3 falhou para joaosn
[2025-09-16T04:42:19.795Z] [DEBUG] Tentativa 2/3 falhou para joaosn
[2025-09-16T04:42:27.894Z] [DEBUG] Promise details: | Data: {}
[2025-09-16T04:45:30.232Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:45:30.238Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:45:32.475Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:45:32.478Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:45:32.480Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:47:24.078Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:47:29.068Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:47:29.214Z] [DEBUG] Tentativa 1/3 falhou para joaosn
[2025-09-16T04:47:30.231Z] [DEBUG] Tentativa 2/3 falhou para joaosn
[2025-09-16T04:47:49.480Z] [DEBUG] Tentativa 1/3 falhou para joaosn
[2025-09-16T04:47:50.487Z] [DEBUG] Tentativa 2/3 falhou para joaosn
[2025-09-16T04:48:22.075Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:48:23.110Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:52:08.461Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:52:18.518Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:52:18.679Z] [DEBUG] Tentativa 1/3 falhou para joaosn
[2025-09-16T04:52:19.686Z] [DEBUG] Tentativa 2/3 falhou para joaosn
[2025-09-16T04:52:29.810Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:52:29.964Z] [DEBUG] Tentativa 1/3 falhou para joaosn
[2025-09-16T04:52:30.980Z] [DEBUG] Tentativa 2/3 falhou para joaosn
[2025-09-16T04:53:15.586Z] [DEBUG] Tentativa 1/3 falhou para joaosn
[2025-09-16T04:53:15.995Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:53:16.591Z] [DEBUG] Tentativa 2/3 falhou para joaosn
[2025-09-16T04:53:16.932Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:53:17.734Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:55:25.182Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:55:25.188Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:55:26.232Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:55:26.996Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:55:34.222Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:55:46.266Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:55:46.863Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:55:47.196Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:55:47.401Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:55:47.443Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:56:36.271Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
[2025-09-16T04:56:36.345Z] [DEBUG] [DEBUG] startSession | Data: "joaosn"
